id,syllable,tone,speaker,gender,f0_01,f0_02,f0_03,f0_04,f0_05,f0_06,f0_07,f0_08,f0_09,f0_10,d0_01,d0_02,d0_03,d0_04,d0_05,d0_06,d0_07,d0_08,d0_09,f0_mean,f0_std,f0_min,f0_max,f0_slope,duration,voiced_ratio,f0_min_pos
6304,gēn,1,Male Voice 1,male,0.4377,0.4261,-0.1357,-0.1068,0.094,-0.228,-0.419,-0.1997,0.1911,0.9414,-0.0116,-0.5619,0.0289,0.2008,-0.322,-0.191,0.2193,0.3908,0.7503,0.0441,0.3197,-0.4464,0.9414,-0.0387,0.5083,0.8936,0.6667
6308,gēng,1,Male Voice 1,male,0.8375,0.0454,-0.0195,0.1463,0.3331,0.1252,0.1144,0.285,-0.621,-1.0425,-0.7921,-0.0649,0.1658,0.1868,-0.2079,-0.0108,0.1706,-0.906,-0.4215,0.0625,0.4592,-1.0425,0.8375,-0.9643,0.5344,0.92,1.0
6312,gōng,1,Male Voice 1,male,1.5428,0.6874,-0.375,-0.2871,-0.2047,-0.2189,-0.1473,0.1173,0.2331,1.1221,-0.8554,-1.0624,0.0879,0.0825,-0.0143,0.0717,0.2646,0.1158,0.889,0.1315,0.621,-0.629,1.5428,-0.1815,0.4822,0.9111,0.2222
6316,gōu,1,Male Voice 1,male,-0.1401,-0.2399,-0.3389,-0.2053,0.039,0.0143,0.0861,0.094,0.3006,0.2889,-0.0998,-0.099,0.1337,0.2443,-0.0247,0.0718,0.0079,0.2066,-0.0117,-0.0157,0.2454,-0.5562,0.5059,0.7275,0.5344,0.9,0.2222
6320,gū,1,Male Voice 1,male,0.3499,0.3499,-0.4298,-0.0787,-0.0445,0.2663,0.4263,0.2819,-0.0189,-0.7094,0.0,-0.7796,0.3511,0.0342,0.3108,0.16,-0.1445,-0.3008,-0.6904,0.0381,0.3719,-1.1572,0.5237,0.1556,0.456,0.881,1.0
6324,guā,1,Male Voice 1,male,-0.0915,-0.0915,-0.9989,0.1649,-0.1293,-0.0258,-0.0415,0.2255,0.4324,0.4766,0.0,-0.9074,1.1638,-0.2942,0.1035,-0.0157,0.267,0.2069,0.0442,-0.0158,0.3255,-1.027,0.5683,0.7466,0.5344,0.86,0.2222
6328,guāi,1,Male Voice 1,male,-0.2169,-0.303,-0.1788,0.0948,0.1509,-0.0939,-0.0926,-0.2081,0.2558,0.3787,-0.0861,0.1241,0.2736,0.0561,-0.2448,0.0013,-0.1155,0.4639,0.1229,-0.0239,0.2361,-0.5036,0.5623,0.3501,0.6128,0.8966,0.1111
628,hēn,1,Female Voice 1,female,1.0517,1.0517,-0.1783,0.0236,-0.1396,-0.0858,-0.0747,0.0463,-0.0662,0.5007,0.0,-1.23,0.2019,-0.1631,0.0538,0.0111,0.121,-0.1125,0.5669,0.1685,0.4187,-0.2005,1.0517,-0.7769,0.9001,0.8391,0.2222
6280,gāi,1,Male Voice 1,male,0.2163,0.0048,-0.4054,-0.2448,-0.1811,-0.2948,0.1089,0.2379,0.4139,0.5364,-0.2115,-0.4102,0.1606,0.0637,-0.1137,0.4037,0.129,0.176,0.1225,0.0147,0.3066,-0.4613,0.6354,0.6627,0.5344,0.92,0.2222
6284,gān,1,Male Voice 1,male,1.0431,0.7271,-0.1419,-0.3532,-0.1143,-0.0942,-0.4425,0.1567,0.8453,0.1328,-0.3161,-0.869,-0.2113,0.2389,0.0201,-0.3483,0.5992,0.6886,-0.7125,0.1003,0.485,-0.4978,1.0431,-0.2158,0.5344,0.9,0.6667
6288,gāng,1,Male Voice 1,male,0.24,0.3326,0.1326,-0.0523,-0.015,-0.1694,0.0064,0.2684,0.1428,-0.4428,0.0926,-0.2,-0.1849,0.0373,-0.1544,0.1759,0.262,-0.1256,-0.5856,0.0191,0.2249,-0.7535,0.4524,0.0399,0.5083,0.9149,1.0
6292,gāo,1,Male Voice 1,male,0.1599,0.1599,-0.5236,-0.0266,0.0796,0.1086,0.0019,0.0522,-0.0212,0.3919,0.0,-0.6835,0.4969,0.1063,0.0289,-0.1067,0.0503,-0.0735,0.4132,0.0229,0.1882,-0.5404,0.3919,0.1325,0.5083,0.8511,0.2222
6296,gē,1,Male Voice 1,male,0.8663,0.8663,0.0452,-0.2702,-0.1504,0.06,0.3473,0.0642,-0.3721,-0.0861,0.0,-0.8211,-0.3154,0.1198,0.2105,0.2873,-0.2831,-0.4363,0.286,0.1012,0.3795,-0.4259,0.8663,-0.7675,0.456,0.881,0.8889
6300,gēi,1,Male Voice 1,male,2.8252,1.8255,0.1848,-0.0143,-0.248,-0.2408,-0.3314,-0.2925,-0.1519,0.0449,-0.9997,-1.6407,-0.1992,-0.2337,0.0072,-0.0906,0.039,0.1406,0.1968,0.2611,0.9784,-0.3387,2.8252,-2.2282,0.456,0.9048,0.6667
6188,diū,1,Male Voice 1,male,1.289,1.2724,0.4291,0.1227,-0.2686,-0.0777,0.0369,-0.6507,-0.4466,-0.5606,-0.0166,-0.8433,-0.3063,-0.3913,0.1909,0.1146,-0.6876,0.2041,-0.114,0.074,0.6212,-0.9311,1.3543,-1.9345,0.5083,0.9362,0.7778
619,hēi,1,Female Voice 1,female,0.7554,0.7554,0.1157,-0.1021,-0.0856,-0.011,-0.0223,0.157,0.0548,-0.231,0.0,-0.6397,-0.2178,0.0165,0.0745,-0.0113,0.1794,-0.1023,-0.2858,0.1133,0.3002,-0.231,0.7554,-0.5872,0.7695,0.8493,1.0
6192,dōng,1,Male Voice 1,male,1.4513,0.0947,0.1546,0.2556,0.2548,0.1106,-0.2249,-0.0718,-0.3239,-1.1351,-1.3566,0.0599,0.101,-0.0009,-0.1442,-0.3355,0.1531,-0.2521,-0.8112,0.0886,0.5143,-1.1351,1.4513,-1.3807,0.5083,0.9362,1.0
6196,dōu,1,Male Voice 1,male,0.183,0.0168,-0.3081,-0.0809,-0.1029,0.0577,-0.1286,0.0929,-0.019,0.9753,-0.1662,-0.3249,0.2272,-0.022,0.1606,-0.1863,0.2214,-0.1118,0.9942,0.0142,0.2735,-0.4965,0.9753,0.4553,0.4822,0.9111,0.2222
6200,dū,1,Male Voice 1,male,-1.2194,-0.8301,-0.1629,-0.0287,0.1955,0.2347,0.1461,-0.0071,0.1011,0.2738,0.3892,0.6672,0.1342,0.2243,0.0392,-0.0886,-0.1532,0.1081,0.1727,-0.0949,0.4504,-1.2194,0.2982,1.1808,0.5605,0.9245,0.0
6204,duān,1,Male Voice 1,male,-0.3535,-0.2927,-0.1362,-0.1269,-0.0962,0.0789,-0.023,0.0006,0.2193,0.394,0.0608,0.1565,0.0092,0.0307,0.1751,-0.1019,0.0236,0.2186,0.1748,-0.0342,0.2021,-0.3535,0.394,0.6303,0.5605,0.9057,0.0
6208,duī,1,Male Voice 1,male,0.4606,-0.3072,0.0428,-0.0494,-0.2951,-0.5899,-0.5213,-0.0032,0.4543,1.9109,-0.7678,0.35,-0.0923,-0.2457,-0.2947,0.0686,0.5181,0.4575,1.4566,0.0209,0.5494,-0.6568,1.9109,0.5262,0.5083,0.9362,0.5556
6332,guān,1,Male Voice 1,male,1.8013,-0.1486,-0.7626,-0.0724,0.0827,0.2141,0.0298,0.0641,-0.3564,0.6412,-1.9499,-0.614,0.6902,0.1551,0.1314,-0.1843,0.0343,-0.4205,0.9976,0.1156,0.5968,-0.7705,1.8013,-0.4413,0.6389,0.9333,0.2222
6336,guāng,1,Male Voice 1,male,-0.1713,-0.1713,-0.077,0.2256,0.0133,-0.0298,0.2958,0.0533,-0.1279,-0.7692,0.0,0.0943,0.3026,-0.2123,-0.0431,0.3256,-0.2425,-0.1812,-0.6413,-0.0235,0.2501,-0.7936,0.342,-0.1299,0.5866,0.8727,1.0
